question,topic,explanation
What is the color of the sky?,colors,The sky appears blue due to scattering of sunlight.
Which animal says "Moo"?,animals,A cow is known for making the sound "moo."
How many legs does a spider have?,animals,Spiders are arachnids and have 8 legs.
What do you call a baby dog?,animals,A baby dog is called a puppy.
What is the color of an apple?,colors,Apples are usually red, but can also be green or yellow.
Which animal lives in a den?,animals,Bears live in dens, especially during hibernation.
Which fruit is yellow and curved?,colors,Bananas are typically yellow when ripe and have a curved shape.
What is the color of a leaf?,colors,Leaves are generally green because of chlorophyll.
What is the shape of a ball?,shapes,A ball is round in shape.
What is the color of a sunflower?,colors,Sunflowers are bright yellow in color.
How many days are there in a week?,numbers,A week has 7 days: Monday to Sunday.
Which bird says "Tweet"?,animals,Sparrows are small birds known for chirping or tweeting.
What is the color of grass?,colors,Grass is typically green due to chlorophyll.
What is the name of the ship that carries passengers over water?,vehicles,A boat is used to carry passengers over water.
What is the shape of a pencil?,shapes,Pencils are generally long and round in shape.
What do we wear on our feet?,objects,Shoes are worn to protect the feet.
Which animal has a long neck?,animals,Giraffes are known for their long necks.
What is the opposite of hot?,concepts,Cold is the opposite of hot, referring to low temperatures.
What is the color of a watermelon?,colors,Watermelon has a green outer skin and red juicy interior.
What do we drink in the morning to stay healthy?,objects,Milk is commonly consumed in the morning for nutrition.
Which animal has a trunk?,animals,Elephants have a long trunk used to grab food and water.
How many months are there in a year?,numbers,A year consists of 12 months.
What do we use to write?,objects,A pencil is used to write on paper.
Which animal has a shell?,animals,Turtles have a hard outer shell for protection.
What is the color of a strawberry?,colors,Strawberries are usually red when ripe.
What is the color of the sun?,colors,The sun appears yellow due to light scattering.
What sound does a dog make?,sounds,Dogs make a “woof” sound or barking.
Which vehicle runs on tracks?,vehicles,Trains run on railway tracks transporting passengers and goods.
What do we use to cut paper?,objects,Scissors are tools used for cutting paper.
Which animal has a mane?,animals,Lions are known for their thick mane.
Which country has the highest life expectancy?,geography,Hong Kong has the highest life expectancy in the world.
What is the most common surname in the United States?,names,Smith is the most common surname in the United States.
Who was the Ancient Greek God of the Sun?,mythology,Apollo was the Ancient Greek God of the Sun.
How many minutes are in a full week?,numbers,There are 10,080 minutes in a full week (7 days × 24 hours × 60 minutes).
Aureolin is a shade of what color?,colors,Aureolin is a shade of yellow.
How many faces does a Dodecahedron have?,geometry,A dodecahedron has 12 faces.
What is the 4th letter of the Greek alphabet?,alphabet,The 4th letter of the Greek alphabet is Delta.
What company was initially known as "Blue Ribbon Sports"?,brands,Nike was initially known as "Blue Ribbon Sports."
What art form is described as "decorative handwriting or handwritten lettering"?,arts,Calligraphy is the art of decorative handwriting or handwritten lettering.
What software company is headquartered in Redmond, Washington?,brands,Microsoft is headquartered in Redmond, Washington.
How many dots appear on a pair of dice?,numbers,A pair of dice has a total of 42 dots.
What is acrophobia a fear of?,psychology,Acrophobia is the fear of heights.
December 26 is known by what names in Ireland?,culture,December 26 is known as Saint Stephen's Day in Ireland.
